Nama CCTV,Jalan,Kelurahan,Kecamatan,Dinas,Hari,Jam,Jam Obervasi,Anomali,Anomali Kategori,KodeSurveyor,File Video CCTV
TAMAN TEGALEGA_12,Jl. Otto Iskandar Dinata,Karanganyar,Astanaanyar,DPKP3,Senin,06:00,06.00-06.10,"1. Tanggal & Jam Salah
2. CCTV Tidak Bisa di Start",Tidak Berfungsi,140810230006,https://drive.google.com/file/d/1LHqC2XL3gS11RRqt6NUJU9lMU76cPVc4/view?usp=drive_link
CCTV ANTAPANI-DEPAN BORMA 01,Jl. Terusan Jakarta,Cicaheum,Antapani,DISKOMINFO,Senin,06:00,06.10-06.20,-,Tidak Beranomali,140810230006,antipati depan borma.mp4
TB JL. GD BAGE SELATAN - JL DERWATI,Jl. Gedebage Selatan,Rancabolang,Gedebage,DPU,Senin,06:00,06.23-06.33,-,Tidak Beranomali,140810230006,https://drive.google.com/file/d/1VWdGptqgaT_ILOn67rbbs_GygGrVKhqI/view?usp=drive_link
CCTV TERMINAL DAGO 01,-,-,-,DISKOMINFO,Senin,06:00,06.47-06.57,CCTV OFFLINE,Offline,140810230006,https://drive.google.com/file/d/1ZajvAU5dYD_Nay7LDITDnE4_ocF4Z6ya/view?usp=drive_link
CCTV LAPANG GASIBU 01,Jl. Diponegoro,Citarum,Bandung Wetan,DISKOMINFO,Senin,06:00,06.35-06.45,-,Tidak Beranomali,140810230006,https://drive.google.com/file/d/1MfEI9bFP3tzXOBTH1EsrvtGz5Il6rwES/view?usp=drive_link
TAMAN TEGALEGA_02,Jl. Otto Iskandar Dinata,Karanganyar,Astanaanyar,DPKP3,Senin,07:00,07.03-07.13,"1. Tanggal & Jam Salah
2. CCTV Tidak Bisa di Start",Tidak Berfungsi,140810230006,https://drive.google.com/file/d/1REGDor0s5hqe3grV-mDZrYnAfrqCTYYG/view?usp=drive_link
CCTV RIAU BANDA,Jl. Banda,Citarum,Bandung Wetan,DISKOMINFO,Senin,07:00,07.13-07.23,-,Tidak Beranomali,140810230006,https://drive.google.com/file/d/1mz9GwGDfjKc3j7WfrV1zBkLOxNJXQqv4/view?usp=drive_link
CCTV JL CIGADUNG 02,Jl. Cigadung Raya Barat,Cigadung,Cibeunying Kaler,DISKOMINFO,Senin,07:00,07.24-07.34,CCTV Buffering,Tidak Berfungsi,140810230006,cigadung.mp4
CCTV VIADUCT 1 02,Jl. Suniaraja,Braga,Sumur Bandung,DISKOMINFO,Senin,07:00,07.35-07.45,-,Tidak Beranomali,140810230006,https://drive.google.com/file/d/1D3mMDUh22GYZrbhbOM5ZRr1ObznCvhLD/view?usp=drive_link
CCTV DAGO 1-CIKAPAYANG 01,Jl. insinyur haji djuanda kartawidjaya,lebak siliwangi,coblong,DISKOMINFO,Senin,07:00,07.46-07.56,-,Tidak Beranomali,140810230006,https://drive.google.com/file/d/1MvXzMZ4FOEOmzr9VNljujevaMFztQkRG/view?usp=drive_link
CCTV JL KOPO SEBRANG MIKO MALL 01,Jl. Kopo Sayati,Cirangrang,Babakan Ciparay,DISKOMINFO,Senin,07:00,07.02-07.12,"1. CCTV Terhalang Palang
2. CCTV Buffering",Terhalang Objek,140810230002,https://drive.google.com/file/d/1yphu6IiSvPp53-UOU0BHIUKIDVcWjqXm/view?usp=drive_link
CCTV DALAM KAUM-PEDESTRIAN 02,Jl. dalem kaum,Balong Gede,Regol,DISKOMINFO,Senin,07:00,07.14-07.24,"1. CCTV Buffering
2. CCTV Glitch",Visual Kurang Jelas,140810230002,https://drive.google.com/file/d/1-_k07RmS1guH5jIDIQ79Gbxqytus9qSj/view?usp=drive_link
